1 NR PCI,2 NR PCI,3 NR PCI,4 NR PCI,5 NR PCI,6 NR PCI,1 SS RSRP,2 SS RSRP,3 SS RSRP,4 SS RSRP,5 SS RSRP,6 SS RSRP,x,y
169.0,167.0,166.0,168.0,,,-81.03,-86.07,-87.24,-156.0,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,166.0,168.0,,,-81.03,-86.07,-87.24,-156.0,,,-0.2119848429440707,1.990674163201368
169.0,167.0,166.0,168.0,,,-81.03,-86.07,-87.24,-156.0,,,-0.2119848429440707,1.990674163201368
169.0,167.0,190.0,166.0,168.0,,-79.9,-89.76,-123.43,-123.8,-156.0,,-0.2119848429440707,1.990674163201368
169.0,167.0,190.0,166.0,168.0,,-79.9,-89.76,-123.43,-123.8,-156.0,,-0.2119848429440707,1.990674163201368
169.0,167.0,190.0,166.0,168.0,,-79.77,-87.23,-89.72,-121.98,-156.0,,-0.2119848429440707,1.990674163201368
169.0,167.0,190.0,166.0,168.0,,-79.77,-87.23,-89.72,-121.98,-156.0,,-0.2119848429440707,1.990674163201368
169.0,167.0,190.0,166.0,168.0,,-79.77,-87.23,-89.72,-121.98,-156.0,,-0.2119848429440707,1.990674163201368
169.0,167.0,166.0,190.0,,,-79.39,-84.44,-122.05,-156.0,,,-0.2119848429440707,1.990674163201368
169.0,167.0,166.0,190.0,,,-79.39,-84.44,-122.05,-156.0,,,-0.2119848429440707,1.990674163201368
169.0,167.0,166.0,190.0,,,-78.84,-83.85,-125.49,-156.0,,,-0.2119848429440707,1.990674163201368
169.0,167.0,166.0,190.0,,,-78.84,-83.85,-125.49,-156.0,,,-0.2119848429440707,1.990674163201368
169.0,167.0,166.0,190.0,,,-78.84,-83.85,-125.49,-156.0,,,-0.2119848429440707,1.990674163201368
169.0,167.0,190.0,166.0,,,-78.46,-87.02,-123.34,-156.0,,,-0.2119848429440707,1.990674163201368
169.0,167.0,190.0,166.0,,,-78.46,-87.02,-123.34,-156.0,,,-0.2119848429440707,1.990674163201368
169.0,167.0,190.0,166.0,,,-78.46,-87.02,-123.34,-156.0,,,-0.2119848429440707,1.990674163201368
169.0,167.0,190.0,166.0,,,-79.92,-83.59,-121.96,-122.18,,,-0.187698470849368,2.2551849502528407
169.0,167.0,190.0,166.0,,,-79.92,-83.59,-121.96,-122.18,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,190.0,,,-79.9,-81.99,-87.43,-156.0,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,190.0,,,-79.9,-81.99,-87.43,-156.0,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,190.0,,,-79.9,-81.99,-87.43,-156.0,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,190.0,,,-80.58,-83.75,-122.68,-156.0,,,-0.187698470849368,2.2551849502528407
169.0,167.0,166.0,190.0,,,-80.58,-83.75,-122.68,-156.0,,,-0.187698470849368,2.2551849502528407
