166,167,168,169,189,190,x,y
-88.26,,,-75.46,,,0.0668639921221486,3.8332924133477713
-88.26,,,-75.46,,,0.0668639921221486,3.8332924133477713
-88.26,,,-75.46,,,0.0668639921221486,3.8332924133477713
-88.26,,,-71.62,,,0.0668639921221486,3.8332924133477713
-88.26,,,-71.62,,,0.0668639921221486,3.8332924133477713
-88.26,,,-71.62,,,0.0668639921221486,3.8332924133477713
-96.31,,,-72.41,,,0.0668639921221486,3.8332924133477713
-96.31,,,-72.41,,,0.0668639921221486,3.8332924133477713
-96.31,,,-72.41,,,0.0648717369837664,4.10427959607621
-87.21,,,-73.4,,,0.0648717369837664,4.10427959607621
-87.21,,,-73.4,,,0.0648717369837664,4.10427959607621
-87.21,,,-73.4,,,0.0648717369837664,4.10427959607621
-123.82,-83.92,,-77.33,-85.63,-156.0,0.0648717369837664,4.10427959607621
-123.82,-83.92,,-77.33,-85.63,-156.0,0.0648717369837664,4.10427959607621
-123.82,-83.92,,-77.33,-85.63,-156.0,0.0648717369837664,4.10427959607621
-123.82,-83.92,,-77.33,-85.63,-156.0,0.0648717369837664,4.10427959607621
-156.0,-83.92,,-75.05,-83.55,-156.0,0.0648717369837664,4.10427959607621
-156.0,-83.92,,-75.05,-83.55,-156.0,0.0648717369837664,4.10427959607621
-156.0,-83.92,,-75.05,-83.55,-156.0,0.0648717369837664,4.10427959607621
-94.07,-84.48,,-72.58,,-150.97,0.0648717369837664,4.10427959607621
-94.07,-84.48,,-72.58,,-150.97,0.0648717369837664,4.10427959607621
-94.07,-84.48,,-72.58,,-150.97,0.0648717369837664,4.10427959607621
-84.92,-84.56,,-72.67,,-150.97,0.0648717369837664,4.10427959607621
-84.92,-84.56,,-72.67,,-150.97,0.0648717369837664,4.10427959607621
-84.92,-84.56,,-72.67,,-150.97,0.0648717369837664,4.10427959607621
-84.92,-84.56,,-72.67,,-150.97,0.1038730432931324,4.374179030092822
-84.92,-84.56,,-72.67,,-150.97,0.1038730432931324,4.374179030092822
-85.59,-81.54,,-71.91,,,0.1038730432931324,4.374179030092822
-85.59,-81.54,,-71.91,,,0.1038730432931324,4.374179030092822
-85.59,-81.54,,-71.91,,,0.1038730432931324,4.374179030092822
-85.59,-81.54,,-71.91,,,0.1038730432931324,4.374179030092822
-84.05,-80.67,,-68.71,,,0.1038730432931324,4.374179030092822
-84.05,-80.67,,-68.71,,,0.1038730432931324,4.374179030092822
-84.05,-80.67,,-68.71,,,0.1038730432931324,4.374179030092822
-86.84,-79.8,,-70.04,,,0.1038730432931324,4.374179030092822
-86.84,-79.8,,-70.04,,,0.1038730432931324,4.374179030092822
-80.25,-81.26,,-70.91,,,0.1038730432931324,4.374179030092822
-80.25,-81.26,,-70.91,,,0.1038730432931324,4.374179030092822
-80.25,-81.26,,-70.91,,,0.1038730432931324,4.374179030092822
-80.25,-81.26,,-70.91,,,0.1411714283558072,4.637530938874336
-80.25,-81.26,,-70.91,,,0.1411714283558072,4.637530938874336
